cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
15000,25,40,twice-weekly,80
0,25,40,none,100
17000,25,40,weekly,100
16000,25,40,twice-weekly,100
0,50,40,none,5
56000,50,40,weekly,5
102000,50,40,twice-weekly,5
0,50,40,none,20
27000,50,40,weekly,20
29000,50,40,twice-weekly,20
0,50,40,none,40
21000,50,40,weekly,40
20000,50,40,twice-weekly,40
0,50,40,none,60
19000,50,40,weekly,60
21000,50,40,twice-weekly,60
0,50,40,none,80
21000,50,40,weekly,80
20000,50,40,twice-weekly,80
0,50,40,none,100
21000,50,40,weekly,100
20000,50,40,twice-weekly,100
0,75,40,none,5
76000,75,40,weekly,5
139000,75,40,twice-weekly,5
0,75,40,none,20
37000,75,40,weekly,20
40000,75,40,twice-weekly,20
0,75,40,none,40
28000,75,40,weekly,40
28000,75,40,twice-weekly,40
0,75,40,none,60
26000,75,40,weekly,60
29000,75,40,twice-weekly,60
0,75,40,none,80
29000,75,40,weekly,80
27000,75,40,twice-weekly,80
0,75,40,none,100
29000,75,40,weekly,100
27000,75,40,twice-weekly,100
0,100,40,none,5
124000,100,40,weekly,5
228000,100,40,twice-weekly,5
0,100,40,none,20
61000,100,40,weekly,20
65000,100,40,twice-weekly,20
0,100,40,none,40
47000,100,40,weekly,40
45000,100,40,twice-weekly,40
0,100,40,none,60
43000,100,40,weekly,60
47000,100,40,twice-weekly,60
0,100,40,none,80
48000,100,40,weekly,80
44000,100,40,twice-weekly,80
0,100,40,none,100
47000,100,40,weekly,100
45000,100,40,twice-weekly,100
0,0,60,none,5
46000,0,60,weekly,5
85000,0,60,twice-weekly,5
0,0,60,none,20
18000,0,60,weekly,20
21000,0,60,twice-weekly,20
0,0,60,none,40
14000,0,60,weekly,40
16000,0,60,twice-weekly,40
0,0,60,none,60
13000,0,60,weekly,60
15000,0,60,twice-weekly,60
0,0,60,none,80
14000,0,60,weekly,80
14000,0,60,twice-weekly,80
0,0,60,none,100
15000,0,60,weekly,100
14000,0,60,twice-weekly,100
0,25,60,none,5
56000,25,60,weekly,5
103000,25,60,twice-weekly,5
0,25,60,none,20
22000,25,60,weekly,20
25000,25,60,twice-weekly,20
0,25,60,none,40
17000,25,60,weekly,40
20000,25,60,twice-weekly,40
0,25,60,none,60
16000,25,60,weekly,60
18000,25,60,twice-weekly,60
0,25,60,none,80
16000,25,60,weekly,80
18000,25,60,twice-weekly,80
0,25,60,none,100
18000,25,60,weekly,100
17000,25,60,twice-weekly,100
0,50,60,none,5
71000,50,60,weekly,5
130000,50,60,twice-weekly,5
0,50,60,none,20
27000,50,60,weekly,20
32000,50,60,twice-weekly,20
0,50,60,none,40
21000,50,60,weekly,40
