cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
0,0,0,none,5
59000,0,0,weekly,5
81000,0,0,twice-weekly,5
0,0,0,none,20
21000,0,0,weekly,20
24000,0,0,twice-weekly,20
0,0,0,none,40
16000,0,0,weekly,40
17000,0,0,twice-weekly,40
0,0,0,none,60
14000,0,0,weekly,60
14000,0,0,twice-weekly,60
0,0,0,none,80
13000,0,0,weekly,80
14000,0,0,twice-weekly,80
0,0,0,none,100
14000,0,0,weekly,100
14000,0,0,twice-weekly,100
0,25,0,none,5
72000,25,0,weekly,5
99000,25,0,twice-weekly,5
0,25,0,none,20
26000,25,0,weekly,20
29000,25,0,twice-weekly,20
0,25,0,none,40
19000,25,0,weekly,40
20000,25,0,twice-weekly,40
0,25,0,none,60
17000,25,0,weekly,60
17000,25,0,twice-weekly,60
0,25,0,none,80
16000,25,0,weekly,80
17000,25,0,twice-weekly,80
0,25,0,none,100
17000,25,0,weekly,100
17000,25,0,twice-weekly,100
0,50,0,none,5
91000,50,0,weekly,5
125000,50,0,twice-weekly,5
0,50,0,none,20
32000,50,0,weekly,20
37000,50,0,twice-weekly,20
0,50,0,none,40
24000,50,0,weekly,40
26000,50,0,twice-weekly,40
0,50,0,none,60
22000,50,0,weekly,60
22000,50,0,twice-weekly,60
0,50,0,none,80
21000,50,0,weekly,80
22000,50,0,twice-weekly,80
0,50,0,none,100
22000,50,0,weekly,100
21000,50,0,twice-weekly,100
0,75,0,none,5
124000,75,0,weekly,5
170000,75,0,twice-weekly,5
0,75,0,none,20
44000,75,0,weekly,20
50000,75,0,twice-weekly,20
0,75,0,none,40
33000,75,0,weekly,40
35000,75,0,twice-weekly,40
0,75,0,none,60
29000,75,0,weekly,60
30000,75,0,twice-weekly,60
0,75,0,none,80
28000,75,0,weekly,80
30000,75,0,twice-weekly,80
0,75,0,none,100
29000,75,0,weekly,100
29000,75,0,twice-weekly,100
0,100,0,none,5
204000,100,0,weekly,5
279000,100,0,twice-weekly,5
