cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
52000,25,40,twice-weekly,80
0,25,40,none,100
34000,25,40,weekly,100
47000,25,40,twice-weekly,100
0,50,40,none,5
381000,50,40,weekly,5
609000,50,40,twice-weekly,5
0,50,40,none,20
108000,50,40,weekly,20
168000,50,40,twice-weekly,20
0,50,40,none,40
68000,50,40,weekly,40
87000,50,40,twice-weekly,40
0,50,40,none,60
57000,50,40,weekly,60
73000,50,40,twice-weekly,60
0,50,40,none,80
47000,50,40,weekly,80
65000,50,40,twice-weekly,80
0,50,40,none,100
43000,50,40,weekly,100
60000,50,40,twice-weekly,100
0,75,40,none,5
520000,75,40,weekly,5
831000,75,40,twice-weekly,5
0,75,40,none,20
147000,75,40,weekly,20
229000,75,40,twice-weekly,20
0,75,40,none,40
93000,75,40,weekly,40
119000,75,40,twice-weekly,40
0,75,40,none,60
78000,75,40,weekly,60
99000,75,40,twice-weekly,60
0,75,40,none,80
64000,75,40,weekly,80
89000,75,40,twice-weekly,80
0,75,40,none,100
59000,75,40,weekly,100
82000,75,40,twice-weekly,100
0,100,40,none,5
853000,100,40,weekly,5
1364000,100,40,twice-weekly,5
0,100,40,none,20
242000,100,40,weekly,20
376000,100,40,twice-weekly,20
0,100,40,none,40
153000,100,40,weekly,40
196000,100,40,twice-weekly,40
0,100,40,none,60
128000,100,40,weekly,60
163000,100,40,twice-weekly,60
0,100,40,none,80
105000,100,40,weekly,80
146000,100,40,twice-weekly,80
0,100,40,none,100
97000,100,40,weekly,100
135000,100,40,twice-weekly,100
0,0,60,none,5
302000,0,60,weekly,5
508000,0,60,twice-weekly,5
0,0,60,none,20
90000,0,60,weekly,20
134000,0,60,twice-weekly,20
0,0,60,none,40
50000,0,60,weekly,40
80000,0,60,twice-weekly,40
0,0,60,none,60
42000,0,60,weekly,60
52000,0,60,twice-weekly,60
0,0,60,none,80
37000,0,60,weekly,80
45000,0,60,twice-weekly,80
0,0,60,none,100
35000,0,60,weekly,100
43000,0,60,twice-weekly,100
0,25,60,none,5
366000,25,60,weekly,5
615000,25,60,twice-weekly,5
0,25,60,none,20
108000,25,60,weekly,20
162000,25,60,twice-weekly,20
0,25,60,none,40
60000,25,60,weekly,40
97000,25,60,twice-weekly,40
0,25,60,none,60
51000,25,60,weekly,60
63000,25,60,twice-weekly,60
0,25,60,none,80
45000,25,60,weekly,80
54000,25,60,twice-weekly,80
0,25,60,none,100
42000,25,60,weekly,100
53000,25,60,twice-weekly,100
0,50,60,none,5
463000,50,60,weekly,5
778000,50,60,twice-weekly,5
0,50,60,none,20
137000,50,60,weekly,20
205000,50,60,twice-weekly,20
0,50,60,none,40
76000,50,60,weekly,40
122000,50,60,twice-weekly,40
0,50,60,none,60
65000,50,60,weekly,60
80000,50,60,twice-weekly,60
0,50,60,none,80
57000,50,60,weekly,80
69000,50,60,twice-weekly,80
0,50,60,none,100
53000,50,60,weekly,100
67000,50,60,twice-weekly,100
0,75,60,none,5
631000,75,60,weekly,5
1062000,75,60,twice-weekly,5
0,75,60,none,20
187000,75,60,weekly,20
279000,75,60,twice-weekly,20
0,75,60,none,40
104000,75,60,weekly,40
167000,75,60,twice-weekly,40
0,75,60,none,60
88000,75,60,weekly,60
109000,75,60,twice-weekly,60
0,75,60,none,80
78000,75,60,weekly,80
94000,75,60,twice-weekly,80
0,75,60,none,100
73000,75,60,weekly,100
91000,75,60,twice-weekly,100
0,100,60,none,5
1037000,100,60,weekly,5
1743000,100,60,twice-weekly,5
0,100,60,none,20
307000,100,60,weekly,20
459000,100,60,twice-weekly,20
0,100,60,none,40
170000,100,60,weekly,40
274000,100,60,twice-weekly,40
0,100,60,none,60
145000,100,60,weekly,60
178000,100,60,twice-weekly,60
0,100,60,none,80
128000,100,60,weekly,80
154000,100,60,twice-weekly,80
0,100,60,none,100
119000,100,60,weekly,100
149000,100,60,twice-weekly,100
0,0,80,none,5
388000,0,80,weekly,5
599000,0,80,twice-weekly,5
0,0,80,none,20
121000,0,80,weekly,20
165000,0,80,twice-weekly,20
0,0,80,none,40
71000,0,80,weekly,40
94000,0,80,twice-weekly,40
0,0,80,none,60
56000,0,80,weekly,60
67000,0,80,twice-weekly,60
0,0,80,none,80
44000,0,80,weekly,80
56000,0,80,twice-weekly,80
0,0,80,none,100
39000,0,80,weekly,100
51000,0,80,twice-weekly,100
0,25,80,none,5
469000,25,80,weekly,5
725000,25,80,twice-weekly,5
0,25,80,none,20
146000,25,80,weekly,20
200000,25,80,twice-weekly,20
0,25,80,none,40
85000,25,80,weekly,40
114000,25,80,twice-weekly,40
0,25,80,none,60
68000,25,80,weekly,60
81000,25,80,twice-weekly,60
0,25,80,none,80
53000,25,80,weekly,80
67000,25,80,twice-weekly,80
0,25,80,none,100
47000,25,80,weekly,100
62000,25,80,twice-weekly,100
0,50,80,none,5
595000,50,80,weekly,5
918000,50,80,twice-weekly,5
0,50,80,none,20
185000,50,80,weekly,20
253000,50,80,twice-weekly,20
0,50,80,none,40
108000,50,80,weekly,40
144000,50,80,twice-weekly,40
0,50,80,none,60
87000,50,80,weekly,60
102000,50,80,twice-weekly,60
0,50,80,none,80
67000,50,80,weekly,80
85000,50,80,twice-weekly,80
0,50,80,none,100
59000,50,80,weekly,100
79000,50,80,twice-weekly,100
0,75,80,none,5
811000,75,80,weekly,5
1252000,75,80,twice-weekly,5
0,75,80,none,20
253000,75,80,weekly,20
345000,75,80,twice-weekly,20
0,75,80,none,40
147000,75,80,weekly,40
196000,75,80,twice-weekly,40
0,75,80,none,60
118000,75,80,weekly,60
140000,75,80,twice-weekly,60
0,75,80,none,80
92000,75,80,weekly,80
116000,75,80,twice-weekly,80
0,75,80,none,100
81000,75,80,weekly,100
108000,75,80,twice-weekly,100
0,100,80,none,5
1331000,100,80,weekly,5
2056000,100,80,twice-weekly,5
0,100,80,none,20
415000,100,80,weekly,20
566000,100,80,twice-weekly,20
0,100,80,none,40
242000,100,80,weekly,40
323000,100,80,twice-weekly,40
0,100,80,none,60
194000,100,80,weekly,60
229000,100,80,twice-weekly,60
0,100,80,none,80
151000,100,80,weekly,80
191000,100,80,twice-weekly,80
0,100,80,none,100
133000,100,80,weekly,100
177000,100,80,twice-weekly,100
0,0,100,none,5
802000,0,100,weekly,5
1549000,0,100,twice-weekly,5
0,0,100,none,20
217000,0,100,weekly,20
328000,0,100,twice-weekly,20
0,0,100,none,40
124000,0,100,weekly,40
180000,0,100,twice-weekly,40
0,0,100,none,60
95000,0,100,weekly,60
119000,0,100,twice-weekly,60
0,0,100,none,80
80000,0,100,weekly,80
97000,0,100,twice-weekly,80
0,0,100,none,100
67000,0,100,weekly,100
80000,0,100,twice-weekly,100
0,25,100,none,5
971000,25,100,weekly,5
1875000,25,100,twice-weekly,5
0,25,100,none,20
263000,25,100,weekly,20
396000,25,100,twice-weekly,20
0,25,100,none,40
150000,25,100,weekly,40
218000,25,100,twice-weekly,40
0,25,100,none,60
115000,25,100,weekly,60
144000,25,100,twice-weekly,60
0,25,100,none,80
96000,25,100,weekly,80
117000,25,100,twice-weekly,80
0,25,100,none,100
81000,25,100,weekly,100
97000,25,100,twice-weekly,100
0,50,100,none,5
1230000,50,100,weekly,5
2375000,50,100,twice-weekly,5
0,50,100,none,20
333000,50,100,weekly,20
502000,50,100,twice-weekly,20
0,50,100,none,40
191000,50,100,weekly,40
276000,50,100,twice-weekly,40
0,50,100,none,60
145000,50,100,weekly,60
183000,50,100,twice-weekly,60
0,50,100,none,80
122000,50,100,weekly,80
148000,50,100,twice-weekly,80
0,50,100,none,100
102000,50,100,weekly,100
123000,50,100,twice-weekly,100
0,75,100,none,5
1678000,75,100,weekly,5
3239000,75,100,twice-weekly,5
0,75,100,none,20
454000,75,100,weekly,20
685000,75,100,twice-weekly,20
0,75,100,none,40
260000,75,100,weekly,40
377000,75,100,twice-weekly,40
0,75,100,none,60
198000,75,100,weekly,60
249000,75,100,twice-weekly,60
0,75,100,none,80
167000,75,100,weekly,80
202000,75,100,twice-weekly,80
0,75,100,none,100
139000,75,100,weekly,100
168000,75,100,twice-weekly,100
0,100,100,none,5
2754000,100,100,weekly,5
5317000,100,100,twice-weekly,5
0,100,100,none,20
745000,100,100,weekly,20
1124000,100,100,twice-weekly,20
0,100,100,none,40
427000,100,100,weekly,40
618000,100,100,twice-weekly,40
0,100,100,none,60
325000,100,100,weekly,60
410000,100,100,twice-weekly,60
0,100,100,none,80
274000,100,100,weekly,80
332000,100,100,twice-weekly,80
0,100,100,none,100
229000,100,100,weekly,100
276000,100,100,twice-weekly,100
